id,time,latitude,longitude,mag,magType,place,type,status,locationSource,state
uu60030074,2022-03-15 20:48:10.190000+00:00,44.6138333,-110.3205,1.67,md,"50 km SE of Mammoth, Wyoming",earthquake,reviewed,uu,US-WY
uu60485727,2022-03-15 20:47:49+00:00,44.6076667,-110.3193333,1.35,md,"50 km SE of Mammoth, Wyoming",earthquake,reviewed,uu,US-WY
av91052178,2022-03-15 20:45:19.540000+00:00,51.808,-178.913333333333,0.87,ml,"157 km W of Adak, Alaska",earthquake,reviewed,av,US-AK
mb80540594,2022-03-15 20:44:04.660000+00:00,46.1813333,-112.1205,0.71,ml,"6 km S of Boulder, Montana",earthquake,reviewed,mb,US-MT
uu60485722,2022-03-15 20:34:06.580000+00:00,44.605,-110.3141667,1.11,md,"51 km SE of Mammoth, Wyoming",earthquake,reviewed,uu,US-WY
ak0223epvbpi,2022-03-15 20:32:53.427000+00:00,63.3962,-151.3235,1.5,ml,"25 km SE of Denali National Park, Alaska",earthquake,reviewed,ak,US-AK
uu60485717,2022-03-15 20:30:14.820000+00:00,44.6078333,-110.3163333,2.85,ml,"51 km SE of Mammoth, Wyoming",earthquake,reviewed,uu,US-WY
nc73706181,2022-03-15 20:28:17.860000+00:00,38.8266678,-122.7878342,0.56,md,"6km W of Cobb, CA",earthquake,automatic,nc,US-CA
ak0223epu0qm,2022-03-15 20:26:45.100000+00:00,59.3984,-153.6329,1.6,ml,"50 km SSE of Pedro Bay, Alaska",earthquake,reviewed,ak,US-AK
us6000h4w7,2022-03-15 20:26:15.799000+00:00,38.1779,-30.9535,4.6,mb,"134 km S of Lajes das Flores, Portugal",earthquake,reviewed,us,
ci39968743,2022-03-15 20:22:58.490000+00:00,33.2513333,-115.999,1.43,ml,"7km SW of Salton City, CA",earthquake,reviewed,ci,US-CA
nc73706176,2022-03-15 20:13:19.440000+00:00,38.8393326,-122.824501,0.86,md,"9km WNW of Cobb, CA",earthquake,automatic,nc,US-CA
uu60485702,2022-03-15 20:09:12.690000+00:00,39.423,-110.3148333,1.65,md,"15 km SSE of Sunnyside, Utah",earthquake,reviewed,uu,US-UT
mb80540624,2022-03-15 20:06:55.410000+00:00,46.9043333,-112.521,0.46,ml,"13 km ESE of Lincoln, Montana",earthquake,reviewed,mb,US-MT
ak0223eppga4,2022-03-15 20:05:14.530000+00:00,61.733,-149.2238,1.1,ml,"1 km SSE of Fishhook, Alaska",earthquake,reviewed,ak,US-AK
nn00835953,2022-03-15 20:02:39.965000+00:00,39.5889,-119.0652,1.5,ml,"16 km E of Fernley, Nevada",earthquake,reviewed,nn,US-NV
ak0223epeq0g,2022-03-15 19:55:08.385000+00:00,62.2003,-149.428,0.8,ml,"22 km E of Susitna North, Alaska",earthquake,reviewed,ak,US-AK
us6000h5tf,2022-03-15 19:54:14.704000+00:00,-24.3977,-179.4811,4.4,mb,south of the Fiji Islands,earthquake,reviewed,us,
nc73706171,2022-03-15 19:53:46.790000+00:00,38.8175011,-122.7990036,0.84,md,"6km NW of The Geysers, CA",earthquake,automatic,nc,US-CA
us6000h4tw,2022-03-15 19:49:39.940000+00:00,13.9726,119.4862,4.5,mb,"61 km W of Cabra, Philippines",earthquake,reviewed,us,
ak0223epckem,2022-03-15 19:45:01.905000+00:00,63.0571,-150.6856,1.1,ml,"62 km N of Petersville, Alaska",earthquake,reviewed,ak,US-AK
